project,algorithm,batch_size,time_reqd,builds_reqd,total_delay,failures_found,failures_not_found,bad_builds,testall_size
fog.csv,BATCH4,4,27.14974239112541,23.076923076923077,94,98.0,2.0,7,351
fog.csv,BATCHSTOP4,4,26.9469803284941,23.36182336182336,242,94.0,6.0,14,351
fog.csv,BATCHSTOP4,8,28.430207635523782,24.216524216524217,0,100.0,0.0,0,351
fog.csv,BATCHSTOP4,16,28.574944541967998,24.786324786324787,0,100.0,0.0,0,351
fog.csv,BATCHSTOP4,32,28.574944541967998,24.786324786324787,0,100.0,0.0,0,351
fog.csv,BATCHBISECT,1,11.784322450356708,6.552706552706553,4635,32.0,68.0,246,351
fog.csv,BATCHBISECT,2,15.051334334104286,11.396011396011396,2001,58.0,42.0,177,351
fog.csv,BATCHBISECT,4,26.9469803284941,23.36182336182336,242,94.0,6.0,14,351
fog.csv,BATCHBISECT,8,28.430207635523782,24.216524216524217,0,100.0,0.0,0,351
fog.csv,BATCHBISECT,16,28.574944541967998,24.786324786324787,0,100.0,0.0,0,351
fog.csv,BATCHBISECT,32,28.574944541967998,24.786324786324787,0,100.0,0.0,0,351
