,project,B4_builds,B4_delay,B4_Batch,BB_builds,BB_delay,BB_Batch,BS4_builds,BS4_delay,BS4_Batch,SBS_builds,SBS_delay
14,cloud_controller_ng,74.69135802469135,1.5,4,80.40123456790123,1.5,4,80.0925925925926,3.5,8,11.265432098765432,7.0
19,cloudify,45.25182622068435,2.0,4,42.86812764321415,8.0,16,38.63898500576701,8.0,16,16.955017301038062,16.0
12,concerto,45.97423510466989,2.0,4,44.12238325281803,4.0,8,42.190016103059584,4.0,8,3.864734299516908,30.0
2,fog,83.73015873015873,1.5,4,93.91534391534393,0.5,2,89.74867724867725,3.5,8,26.58730158730159,7.0
4,geoserver,99.4910941475827,2.0,4,108.2273112807464,1.0,2,108.48176420695503,4.0,8,62.00169635284139,4.0
8,gradle,44.54828660436137,2.0,4,40.965732087227416,4.0,8,39.51194184839045,4.0,8,0.8826583592938733,53.0
5,graylog2-server,34.99562554680665,2.0,4,23.79702537182852,8.0,16,22.747156605424323,8.0,16,1.2248468941382329,12.0
3,heroku,53.333333333333336,2.0,4,55.644444444444446,4.0,8,51.37777777777778,4.0,8,14.577777777777778,11.0
15,jruby,108.40599150458306,2.0,4,121.37268052761011,1.0,2,119.27118265146434,4.0,8,79.32036664431031,3.0
6,loomio,73.4848484848485,1.5,4,82.82828282828282,1.5,4,78.03030303030302,3.5,8,17.2979797979798,10.0
0,metasploit-framework,37.4756335282651,1.5,4,28.971734892787524,8.0,16,28.435672514619885,8.0,16,1.023391812865497,80.0
7,opal,43.51851851851852,1.5,4,40.883190883190885,4.0,8,39.458689458689456,4.0,8,3.490028490028491,19.0
17,open-build-service,69.3572496263079,2.0,4,76.3328350772297,2.0,4,72.34678624813154,4.0,8,16.542102640757346,7.0
16,orbeon-forms,80.08547008547009,2.0,4,96.83760683760684,0.5,2,82.82051282051282,4.0,8,64.44444444444444,2.0
10,puppet,35.30338849487786,2.0,4,25.13790386130812,8.0,16,24.50748620961387,8.0,16,1.7336485421591803,22.0
1,rails,72.79874213836477,1.5,4,82.9664570230608,1.5,4,76.75576519916143,3.5,8,24.10901467505241,6.0
9,rubinius,84.87782388197326,2.0,4,92.07007837713232,1.0,2,90.96357768556938,4.0,8,30.751498386353152,5.0
13,sonarqube,56.60818713450293,2.0,4,60.23391812865496,2.0,4,56.72514619883041,4.0,8,8.187134502923977,17.0
11,sufia,51.79738562091503,1.5,4,53.51307189542484,3.5,8,49.75490196078432,3.5,8,4.411764705882353,23.5
18,vagrant,39.551897576588935,2.0,4,33.83630544124371,8.0,16,30.818472793781435,8.0,16,2.377686328303612,27.0
